[16:50:35.472] [main                ] ℹ️ Initial Parameters:
[16:50:37.649] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.650] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.688] [Producer-1          ] 📊 Posted message: Message-00019
[16:50:37.689] [Producer-1          ] 📊 Produced: Message-00019 to topic1
[16:50:37.689] [Consumer-Topic1-1   ] 📊 Consumed message: Message-00019
[16:50:37.695] [Consumer-Topic1-1   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00019
[16:50:37.697] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.699] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.701] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.702] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.721] [Producer-2          ] 📊 Posted message: Message-00020
[16:50:37.724] [Producer-2          ] 📊 Produced: Message-00020 to topic2
[16:50:37.728] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00020
[16:50:37.730] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00020
[16:50:37.730] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.731] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.733] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.734] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.142] [Producer-3          ] 📊 Posted message: Message-00021
[16:50:38.148] [Producer-3          ] 📊 Produced: Message-00021 to topic1
[16:50:38.148] [Consumer-Topic1-1   ] 📊 Consumed message: Message-00021
[16:50:38.150] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.150] [Consumer-Topic1-1   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00021
